features,label
"stacked_queries, db_error_in_response",SQL Injection
"suspicious_email_link, lookalike_domain, malicious_attachment",Phishing
"ssl_stripping, bgp_hijacking, ip_spoofing",Man-in-the-Middle (MitM)
"ssl_stripping, unusual_gateway_mac, session_hijacking, ssl_certificate_mismatch",Man-in-the-Middle (MitM)
"syn_flood, udp_flood, icmp_flood, slow_loris_attack, dns_amplification",Distributed Denial of Service (DDoS)
"shadow_copy_deletion, backup_deletion, process_injection, lateral_movement, bitcoin_address_in_note",Ransomware
"mass_file_encryption, c2_communication, process_injection, bitcoin_address_in_note",Ransomware
"syn_flood, http_flood, dns_amplification, ntp_amplification",Distributed Denial of Service (DDoS)
"syn_flood, http_flood, amplification_traffic",Distributed Denial of Service (DDoS)
"email_header_anomaly, malicious_attachment, spear_phishing_indicators",Phishing
"script_tag_in_input, dom_manipulation, cookie_theft_attempt, stored_xss_payload, csp_bypass_attempt",Cross-Site Scripting (XSS)
"time_delay_response, boolean_blind_sqli",SQL Injection
"shadow_copy_deletion, backup_deletion, lateral_movement",Ransomware
"event_handler_injection, malicious_iframe_injection, html_entity_bypass",Cross-Site Scripting (XSS)
"mass_file_encryption, ransom_note_created, lateral_movement",Ransomware
"sql_injection_pattern, error_based_response, db_error_in_response, tautology_in_query, boolean_blind_sqli",SQL Injection
"cookie_theft_attempt, event_handler_injection, html_entity_bypass",Cross-Site Scripting (XSS)
"service_degradation, udp_flood, bandwidth_saturation, dns_amplification, ntp_amplification",Distributed Denial of Service (DDoS)
"http_flood, amplification_traffic, connection_exhaustion",Distributed Denial of Service (DDoS)
"mass_file_encryption, shadow_copy_deletion, backup_deletion",Ransomware
"bgp_hijacking, evil_twin_ap, ip_spoofing",Man-in-the-Middle (MitM)
"cookie_theft_attempt, stored_xss_payload, malicious_iframe_injection",Cross-Site Scripting (XSS)
"script_tag_in_input, cookie_theft_attempt, reflected_payload",Cross-Site Scripting (XSS)
"arp_spoofing, ip_spoofing",Man-in-the-Middle (MitM)
"domain_spoofing, fake_login_page, vishing_indicators",Phishing
"dom_manipulation, cookie_theft_attempt, malicious_iframe_injection",Cross-Site Scripting (XSS)
"cookie_theft_attempt, stored_xss_payload, html_entity_bypass",Cross-Site Scripting (XSS)
"high_traffic_volume, service_degradation, slow_loris_attack",Distributed Denial of Service (DDoS)
"stacked_queries, db_error_in_response, encoded_sql_payload",SQL Injection
"mass_file_encryption, unusual_file_extension, c2_communication, file_rename_burst",Ransomware
"script_tag_in_input, stored_xss_payload, malicious_iframe_injection",Cross-Site Scripting (XSS)
"multiple_failed_auth, password_spraying",Brute Force Attack
"password_spraying, failed_ssh_attempts, auth_log_flooding",Brute Force Attack
"union_based_payload, db_error_in_response, encoded_sql_payload",SQL Injection
"multiple_failed_auth, credential_stuffing, dictionary_attack, failed_rdp_attempts, auth_log_flooding",Brute Force Attack
"account_lockout_triggered, rapid_auth_requests",Brute Force Attack
"port_scanning, network_mapping, ping_sweep, tcp_connect_scan",Reconnaissance
"os_fingerprinting, ping_sweep, dns_enumeration",Reconnaissance
"certificate_anomaly, session_hijacking, ssl_certificate_mismatch",Man-in-the-Middle (MitM)
"mass_file_encryption, ransom_note_created, data_exfiltration_before_encryption",Ransomware
"high_traffic_volume, service_degradation, connection_exhaustion",Distributed Denial of Service (DDoS)
"high_traffic_volume, udp_flood, slow_loris_attack, bandwidth_saturation, ntp_amplification",Distributed Denial of Service (DDoS)
"port_scanning, banner_grabbing",Reconnaissance
"password_spraying, account_lockout_triggered, rapid_auth_requests",Brute Force Attack
"suspicious_email_link, credential_harvesting, lookalike_domain",Phishing
"port_scanning, ping_sweep, whois_lookup, traceroute_activity",Reconnaissance
"script_tag_in_input, dom_manipulation, malicious_iframe_injection, html_entity_bypass",Cross-Site Scripting (XSS)
"xss_payload_detected, stored_xss_payload, javascript_uri_injection, malicious_iframe_injection",Cross-Site Scripting (XSS)
"blind_sqli_timing, out_of_band_sqli, boolean_blind_sqli",SQL Injection
"ping_sweep, version_detection, tcp_connect_scan",Reconnaissance
"banner_grabbing, ping_sweep, traceroute_activity, idle_scan, tcp_connect_scan",Reconnaissance
"packet_interception, session_hijacking, evil_twin_ap",Man-in-the-Middle (MitM)
"high_traffic_volume, icmp_flood, bandwidth_saturation, dns_amplification, ntp_amplification",Distributed Denial of Service (DDoS)
"dns_enumeration, traceroute_activity, version_detection",Reconnaissance
"brute_force_login, password_spraying, account_lockout_triggered, rapid_auth_requests, failed_ssh_attempts",Brute Force Attack
"mass_file_encryption, unusual_file_extension, file_rename_burst, backup_deletion, registry_modification",Ransomware
"network_mapping, whois_lookup, tcp_connect_scan",Reconnaissance
"shadow_copy_deletion, lateral_movement, bitcoin_address_in_note",Ransomware
"brute_force_login, account_lockout_triggered, rapid_auth_requests",Brute Force Attack
"malicious_attachment, brand_impersonation, spear_phishing_indicators, vishing_indicators",Phishing
"dns_spoofing, rogue_dhcp_server, ssl_certificate_mismatch",Man-in-the-Middle (MitM)
"reflected_payload, event_handler_injection, javascript_uri_injection, malicious_iframe_injection, csp_bypass_attempt",Cross-Site Scripting (XSS)
"dom_manipulation, cookie_theft_attempt, reflected_payload",Cross-Site Scripting (XSS)
"shadow_copy_deletion, unusual_file_extension, lateral_movement",Ransomware
"backup_deletion, registry_modification, lateral_movement, bitcoin_address_in_note",Ransomware
"packet_interception, session_hijacking",Man-in-the-Middle (MitM)
"arp_spoofing, ssl_stripping",Man-in-the-Middle (MitM)
"network_mapping, version_detection, tcp_connect_scan",Reconnaissance
"credential_stuffing, password_spraying",Brute Force Attack
"high_login_attempts, rapid_auth_requests, failed_rdp_attempts",Brute Force Attack
"high_traffic_volume, amplification_traffic, slow_loris_attack",Distributed Denial of Service (DDoS)
"blind_sqli_timing, out_of_band_sqli",SQL Injection
"service_enumeration, banner_grabbing, network_mapping, whois_lookup",Reconnaissance
"arp_spoofing, unusual_gateway_mac, evil_twin_ap",Man-in-the-Middle (MitM)
"error_based_response, out_of_band_sqli, db_error_in_response",SQL Injection
"http_flood, icmp_flood",Distributed Denial of Service (DDoS)
"service_degradation, syn_flood, connection_exhaustion, dns_amplification, ntp_amplification",Distributed Denial of Service (DDoS)
"mass_file_encryption, file_rename_burst, backup_deletion, lateral_movement",Ransomware
"os_fingerprinting, dns_enumeration",Reconnaissance
"lookalike_domain, vishing_indicators",Phishing
"unusual_db_query, out_of_band_sqli",SQL Injection
"syn_flood, amplification_traffic, icmp_flood, ntp_amplification",Distributed Denial of Service (DDoS)
"shadow_copy_deletion, c2_communication",Ransomware
"out_of_band_sqli, time_delay_response, boolean_blind_sqli",SQL Injection
"lookalike_domain, urgency_in_email, malicious_attachment, brand_impersonation, vishing_indicators",Phishing
"domain_spoofing, fake_login_page, spear_phishing_indicators, whaling_attempt",Phishing
"credential_harvesting, spear_phishing_indicators, whaling_attempt",Phishing
"port_scanning, banner_grabbing, ping_sweep, idle_scan, tcp_connect_scan",Reconnaissance
"arp_spoofing, evil_twin_ap, ip_spoofing",Man-in-the-Middle (MitM)
"service_enumeration, ping_sweep, whois_lookup",Reconnaissance
"db_error_in_response, encoded_sql_payload, time_delay_response",SQL Injection
"arp_spoofing, session_hijacking, ip_spoofing",Man-in-the-Middle (MitM)
"high_traffic_volume, amplification_traffic, bandwidth_saturation",Distributed Denial of Service (DDoS)
"cookie_theft_attempt, event_handler_injection, malicious_iframe_injection, html_entity_bypass",Cross-Site Scripting (XSS)
"script_tag_in_input, html_entity_bypass, csp_bypass_attempt",Cross-Site Scripting (XSS)
"syn_flood, ntp_amplification",Distributed Denial of Service (DDoS)
"service_enumeration, dns_enumeration, whois_lookup",Reconnaissance
"brute_force_login, multiple_failed_auth, failed_ssh_attempts, failed_rdp_attempts",Brute Force Attack
"xss_payload_detected, cookie_theft_attempt, javascript_uri_injection",Cross-Site Scripting (XSS)
"high_traffic_volume, syn_flood, dns_amplification",Distributed Denial of Service (DDoS)
"dns_spoofing, unusual_gateway_mac, ssl_certificate_mismatch",Man-in-the-Middle (MitM)
"dns_spoofing, unusual_gateway_mac, rogue_dhcp_server, evil_twin_ap, ip_spoofing",Man-in-the-Middle (MitM)
"brute_force_login, rapid_auth_requests, failed_ssh_attempts, auth_log_flooding",Brute Force Attack
"reflected_payload, event_handler_injection",Cross-Site Scripting (XSS)
"udp_flood, http_flood, icmp_flood, bandwidth_saturation, connection_exhaustion",Distributed Denial of Service (DDoS)
"multiple_failed_auth, rapid_auth_requests",Brute Force Attack
"unusual_db_query, union_based_payload, encoded_sql_payload, boolean_blind_sqli",SQL Injection
"blind_sqli_timing, encoded_sql_payload, boolean_blind_sqli",SQL Injection
"os_fingerprinting, service_enumeration, ping_sweep, dns_enumeration, whois_lookup",Reconnaissance
"suspicious_email_link, credential_harvesting, fake_login_page",Phishing
"arp_spoofing, dns_spoofing, rogue_dhcp_server, bgp_hijacking",Man-in-the-Middle (MitM)
"dictionary_attack, failed_ssh_attempts, failed_rdp_attempts",Brute Force Attack
"unusual_gateway_mac, packet_interception",Man-in-the-Middle (MitM)
"unusual_db_query, boolean_blind_sqli",SQL Injection
"sql_injection_pattern, time_delay_response, boolean_blind_sqli",SQL Injection
"script_tag_in_input, malicious_iframe_injection, csp_bypass_attempt",Cross-Site Scripting (XSS)
"multiple_failed_auth, credential_stuffing, password_spraying, rapid_auth_requests, failed_rdp_attempts",Brute Force Attack
"arp_spoofing, rogue_dhcp_server, packet_interception, bgp_hijacking, evil_twin_ap",Man-in-the-Middle (MitM)
"os_fingerprinting, banner_grabbing, version_detection",Reconnaissance
"fake_login_page, spear_phishing_indicators, whaling_attempt",Phishing
"brute_force_login, credential_stuffing, dictionary_attack, rapid_auth_requests",Brute Force Attack
"port_scanning, service_enumeration, banner_grabbing, traceroute_activity",Reconnaissance
"suspicious_email_link, domain_spoofing, urgency_in_email",Phishing
"suspicious_email_link, fake_login_page, urgency_in_email",Phishing
"service_degradation, bandwidth_saturation",Distributed Denial of Service (DDoS)
"reflected_payload, javascript_uri_injection, malicious_iframe_injection",Cross-Site Scripting (XSS)
"mass_file_encryption, unusual_file_extension, file_rename_burst",Ransomware
"sql_injection_pattern, stacked_queries",SQL Injection
"sql_injection_pattern, union_based_payload, stacked_queries, encoded_sql_payload",SQL Injection
"ssl_stripping, unusual_gateway_mac",Man-in-the-Middle (MitM)
"xss_payload_detected, event_handler_injection, malicious_iframe_injection, html_entity_bypass, csp_bypass_attempt",Cross-Site Scripting (XSS)
"domain_spoofing, email_header_anomaly, brand_impersonation",Phishing
"xss_payload_detected, reflected_payload, html_entity_bypass",Cross-Site Scripting (XSS)
"ransom_note_created, file_rename_burst, backup_deletion",Ransomware
"suspicious_email_link, malicious_attachment, brand_impersonation, spear_phishing_indicators",Phishing
"service_degradation, ntp_amplification",Distributed Denial of Service (DDoS)
"brute_force_login, password_spraying, dictionary_attack",Brute Force Attack
"xss_payload_detected, reflected_payload, malicious_iframe_injection",Cross-Site Scripting (XSS)
"service_degradation, udp_flood, amplification_traffic",Distributed Denial of Service (DDoS)
"arp_spoofing, certificate_anomaly, packet_interception",Man-in-the-Middle (MitM)
"ransom_note_created, shadow_copy_deletion, backup_deletion, process_injection, data_exfiltration_before_encryption",Ransomware
"domain_spoofing, credential_harvesting, brand_impersonation",Phishing
"cookie_theft_attempt, javascript_uri_injection",Cross-Site Scripting (XSS)
"service_degradation, udp_flood",Distributed Denial of Service (DDoS)
"arp_spoofing, session_hijacking, evil_twin_ap",Man-in-the-Middle (MitM)
"service_enumeration, banner_grabbing, traceroute_activity, tcp_connect_scan",Reconnaissance
"certificate_anomaly, evil_twin_ap, ip_spoofing",Man-in-the-Middle (MitM)
"ransom_note_created, file_rename_burst, registry_modification",Ransomware
"credential_harvesting, fake_login_page, email_header_anomaly, vishing_indicators",Phishing
"shadow_copy_deletion, backup_deletion, bitcoin_address_in_note",Ransomware
"script_tag_in_input, cookie_theft_attempt, csp_bypass_attempt",Cross-Site Scripting (XSS)
"cookie_theft_attempt, reflected_payload, stored_xss_payload, event_handler_injection, malicious_iframe_injection",Cross-Site Scripting (XSS)
"dom_manipulation, cookie_theft_attempt, csp_bypass_attempt",Cross-Site Scripting (XSS)
"suspicious_email_link, fake_login_page, spear_phishing_indicators, vishing_indicators",Phishing
"sql_injection_pattern, out_of_band_sqli, boolean_blind_sqli",SQL Injection
"blind_sqli_timing, union_based_payload, stacked_queries, db_error_in_response, boolean_blind_sqli",SQL Injection
"dns_enumeration, idle_scan, tcp_connect_scan",Reconnaissance
"credential_harvesting, email_header_anomaly",Phishing
"unusual_db_query, db_error_in_response, boolean_blind_sqli",SQL Injection
"port_scanning, ping_sweep, whois_lookup",Reconnaissance
"dom_manipulation, javascript_uri_injection",Cross-Site Scripting (XSS)
"ssl_stripping, dns_spoofing, unusual_gateway_mac, ssl_certificate_mismatch",Man-in-the-Middle (MitM)
"service_enumeration, banner_grabbing, idle_scan",Reconnaissance
"port_scanning, dns_enumeration, traceroute_activity",Reconnaissance
"script_tag_in_input, dom_manipulation, cookie_theft_attempt, reflected_payload, event_handler_injection",Cross-Site Scripting (XSS)
"stored_xss_payload, html_entity_bypass",Cross-Site Scripting (XSS)
"ransom_note_created, c2_communication, file_rename_burst, registry_modification, bitcoin_address_in_note",Ransomware
"unusual_gateway_mac, ssl_certificate_mismatch, bgp_hijacking",Man-in-the-Middle (MitM)
"arp_spoofing, certificate_anomaly, ssl_certificate_mismatch",Man-in-the-Middle (MitM)
"malicious_iframe_injection, html_entity_bypass, csp_bypass_attempt",Cross-Site Scripting (XSS)
"arp_spoofing, dns_spoofing, session_hijacking",Man-in-the-Middle (MitM)
"credential_harvesting, whaling_attempt",Phishing
"suspicious_email_link, spear_phishing_indicators, whaling_attempt",Phishing
"unusual_gateway_mac, rogue_dhcp_server, ssl_certificate_mismatch",Man-in-the-Middle (MitM)
"port_scanning, service_enumeration, banner_grabbing, tcp_connect_scan",Reconnaissance
"sql_injection_pattern, db_error_in_response",SQL Injection
"port_scanning, os_fingerprinting, traceroute_activity",Reconnaissance
"arp_spoofing, certificate_anomaly, rogue_dhcp_server",Man-in-the-Middle (MitM)
"urgency_in_email, brand_impersonation",Phishing
"ransom_note_created, c2_communication, file_rename_burst",Ransomware
"backup_deletion, process_injection, data_exfiltration_before_encryption",Ransomware
"brute_force_login, rapid_auth_requests, failed_rdp_attempts",Brute Force Attack
"urgency_in_email, spear_phishing_indicators, whaling_attempt",Phishing
"malicious_iframe_injection, html_entity_bypass",Cross-Site Scripting (XSS)
"ransom_note_created, c2_communication, bitcoin_address_in_note",Ransomware
"reflected_payload, javascript_uri_injection",Cross-Site Scripting (XSS)
"ransom_note_created, shadow_copy_deletion, file_rename_burst, process_injection, data_exfiltration_before_encryption",Ransomware
"script_tag_in_input, reflected_payload",Cross-Site Scripting (XSS)
"high_traffic_volume, syn_flood, icmp_flood",Distributed Denial of Service (DDoS)
"fake_login_page, whaling_attempt, vishing_indicators",Phishing
"suspicious_email_link, urgency_in_email, malicious_attachment, brand_impersonation",Phishing
"unusual_gateway_mac, rogue_dhcp_server, session_hijacking",Man-in-the-Middle (MitM)
"certificate_anomaly, dns_spoofing, rogue_dhcp_server, session_hijacking, bgp_hijacking",Man-in-the-Middle (MitM)
"certificate_anomaly, unusual_gateway_mac, evil_twin_ap",Man-in-the-Middle (MitM)
"high_login_attempts, credential_stuffing",Brute Force Attack
"out_of_band_sqli, db_error_in_response",SQL Injection
"arp_spoofing, certificate_anomaly, bgp_hijacking",Man-in-the-Middle (MitM)
"ssl_stripping, dns_spoofing, rogue_dhcp_server, ssl_certificate_mismatch, ip_spoofing",Man-in-the-Middle (MitM)
"file_rename_burst, backup_deletion, registry_modification, process_injection, lateral_movement",Ransomware
"port_scanning, network_mapping, idle_scan",Reconnaissance
"http_flood, slow_loris_attack, bandwidth_saturation",Distributed Denial of Service (DDoS)
"credential_harvesting, fake_login_page, lookalike_domain",Phishing
"blind_sqli_timing, boolean_blind_sqli",SQL Injection
"sql_injection_pattern, stacked_queries, out_of_band_sqli",SQL Injection
"ransom_note_created, registry_modification, lateral_movement",Ransomware
"suspicious_email_link, fake_login_page, vishing_indicators",Phishing
"urgency_in_email, whaling_attempt, vishing_indicators",Phishing
"xss_payload_detected, script_tag_in_input, reflected_payload",Cross-Site Scripting (XSS)
"suspicious_email_link, domain_spoofing, fake_login_page",Phishing
"mass_file_encryption, shadow_copy_deletion, unusual_file_extension",Ransomware
"os_fingerprinting, ping_sweep, idle_scan",Reconnaissance
"shadow_copy_deletion, process_injection",Ransomware
"certificate_anomaly, rogue_dhcp_server, session_hijacking",Man-in-the-Middle (MitM)
"arp_spoofing, unusual_gateway_mac, ssl_certificate_mismatch",Man-in-the-Middle (MitM)
"unusual_file_extension, backup_deletion, bitcoin_address_in_note",Ransomware
"brute_force_login, credential_stuffing, account_lockout_triggered, rapid_auth_requests, failed_ssh_attempts",Brute Force Attack
"sql_injection_pattern, db_error_in_response, encoded_sql_payload",SQL Injection
"service_degradation, bandwidth_saturation, connection_exhaustion, dns_amplification",Distributed Denial of Service (DDoS)
"malicious_attachment, vishing_indicators",Phishing
"certificate_anomaly, packet_interception, bgp_hijacking",Man-in-the-Middle (MitM)
"script_tag_in_input, stored_xss_payload, event_handler_injection",Cross-Site Scripting (XSS)
"domain_spoofing, email_header_anomaly, urgency_in_email",Phishing
"email_header_anomaly, lookalike_domain, whaling_attempt",Phishing
"brute_force_login, high_login_attempts, dictionary_attack, account_lockout_triggered, failed_rdp_attempts",Brute Force Attack
"arp_spoofing, ssl_certificate_mismatch",Man-in-the-Middle (MitM)
"c2_communication, bitcoin_address_in_note",Ransomware
"blind_sqli_timing, out_of_band_sqli, db_error_in_response",SQL Injection
"high_traffic_volume, udp_flood, icmp_flood, dns_amplification",Distributed Denial of Service (DDoS)
"error_based_response, encoded_sql_payload, time_delay_response",SQL Injection
"brute_force_login, high_login_attempts, rapid_auth_requests",Brute Force Attack
"shadow_copy_deletion, unusual_file_extension, c2_communication, registry_modification, process_injection",Ransomware
"suspicious_email_link, credential_harvesting, spear_phishing_indicators",Phishing
"xss_payload_detected, dom_manipulation, stored_xss_payload, malicious_iframe_injection",Cross-Site Scripting (XSS)
"service_enumeration, banner_grabbing, ping_sweep",Reconnaissance
"error_based_response, out_of_band_sqli",SQL Injection
"ssl_stripping, packet_interception, evil_twin_ap, ip_spoofing",Man-in-the-Middle (MitM)
"udp_flood, icmp_flood, dns_amplification",Distributed Denial of Service (DDoS)
"service_enumeration, traceroute_activity",Reconnaissance
"ssl_certificate_mismatch, bgp_hijacking",Man-in-the-Middle (MitM)
"cookie_theft_attempt, stored_xss_payload, csp_bypass_attempt",Cross-Site Scripting (XSS)
"dom_manipulation, reflected_payload, event_handler_injection",Cross-Site Scripting (XSS)
"dictionary_attack, account_lockout_triggered, failed_ssh_attempts",Brute Force Attack
"ssl_stripping, unusual_gateway_mac, packet_interception",Man-in-the-Middle (MitM)
"blind_sqli_timing, union_based_payload, time_delay_response, boolean_blind_sqli",SQL Injection
"high_traffic_volume, syn_flood, ntp_amplification",Distributed Denial of Service (DDoS)
"sql_injection_pattern, unusual_db_query, error_based_response, out_of_band_sqli",SQL Injection
"banner_grabbing, whois_lookup",Reconnaissance
"dom_manipulation, cookie_theft_attempt, event_handler_injection, malicious_iframe_injection",Cross-Site Scripting (XSS)
"domain_spoofing, lookalike_domain, malicious_attachment",Phishing
"http_flood, icmp_flood, connection_exhaustion, dns_amplification",Distributed Denial of Service (DDoS)
"network_mapping, traceroute_activity",Reconnaissance
"xss_payload_detected, cookie_theft_attempt, reflected_payload, html_entity_bypass",Cross-Site Scripting (XSS)
"dns_spoofing, rogue_dhcp_server, packet_interception, session_hijacking, evil_twin_ap",Man-in-the-Middle (MitM)
"registry_modification, data_exfiltration_before_encryption",Ransomware
"unusual_file_extension, lateral_movement",Ransomware
"script_tag_in_input, dom_manipulation, event_handler_injection, csp_bypass_attempt",Cross-Site Scripting (XSS)
"account_lockout_triggered, rapid_auth_requests, failed_rdp_attempts, auth_log_flooding",Brute Force Attack
"http_flood, slow_loris_attack",Distributed Denial of Service (DDoS)
"service_enumeration, version_detection",Reconnaissance
"brute_force_login, multiple_failed_auth, high_login_attempts",Brute Force Attack
"arp_spoofing, ssl_stripping, session_hijacking",Man-in-the-Middle (MitM)
"ssl_stripping, dns_spoofing, unusual_gateway_mac, ssl_certificate_mismatch, evil_twin_ap",Man-in-the-Middle (MitM)
"multiple_failed_auth, high_login_attempts, auth_log_flooding",Brute Force Attack
"syn_flood, udp_flood, http_flood",Distributed Denial of Service (DDoS)
"udp_flood, amplification_traffic, icmp_flood",Distributed Denial of Service (DDoS)
"backup_deletion, data_exfiltration_before_encryption",Ransomware
"service_degradation, udp_flood, connection_exhaustion, dns_amplification",Distributed Denial of Service (DDoS)
"udp_flood, amplification_traffic, connection_exhaustion",Distributed Denial of Service (DDoS)
"network_mapping, dns_enumeration, whois_lookup",Reconnaissance
"credential_stuffing, password_spraying, account_lockout_triggered",Brute Force Attack
"multiple_failed_auth, failed_ssh_attempts, auth_log_flooding",Brute Force Attack
"arp_spoofing, certificate_anomaly, dns_spoofing, rogue_dhcp_server, bgp_hijacking",Man-in-the-Middle (MitM)
"service_degradation, http_flood, slow_loris_attack",Distributed Denial of Service (DDoS)
"amplification_traffic, slow_loris_attack",Distributed Denial of Service (DDoS)
"unusual_db_query, stacked_queries",SQL Injection
"error_based_response, boolean_blind_sqli",SQL Injection
"c2_communication, process_injection",Ransomware
"whois_lookup, version_detection",Reconnaissance
"credential_stuffing, dictionary_attack, account_lockout_triggered, rapid_auth_requests",Brute Force Attack
"high_traffic_volume, udp_flood, bandwidth_saturation",Distributed Denial of Service (DDoS)
"suspicious_email_link, credential_harvesting, vishing_indicators",Phishing
"dictionary_attack, rapid_auth_requests, auth_log_flooding",Brute Force Attack
"udp_flood, amplification_traffic, bandwidth_saturation",Distributed Denial of Service (DDoS)
"high_traffic_volume, syn_flood, udp_flood, connection_exhaustion",Distributed Denial of Service (DDoS)
"mass_file_encryption, file_rename_burst",Ransomware
"ransom_note_created, data_exfiltration_before_encryption",Ransomware
"xss_payload_detected, reflected_payload, stored_xss_payload, javascript_uri_injection, csp_bypass_attempt",Cross-Site Scripting (XSS)
"union_based_payload, stacked_queries, encoded_sql_payload",SQL Injection
"shadow_copy_deletion, c2_communication, backup_deletion",Ransomware
"service_degradation, slow_loris_attack, connection_exhaustion",Distributed Denial of Service (DDoS)
"error_based_response, tautology_in_query, boolean_blind_sqli",SQL Injection
"syn_flood, icmp_flood, slow_loris_attack",Distributed Denial of Service (DDoS)
"credential_harvesting, email_header_anomaly, vishing_indicators",Phishing
"file_rename_burst, data_exfiltration_before_encryption, bitcoin_address_in_note",Ransomware
"dns_spoofing, rogue_dhcp_server, bgp_hijacking, ip_spoofing",Man-in-the-Middle (MitM)
"domain_spoofing, whaling_attempt, vishing_indicators",Phishing
"ssl_stripping, evil_twin_ap, ip_spoofing",Man-in-the-Middle (MitM)
"amplification_traffic, ntp_amplification",Distributed Denial of Service (DDoS)
"shadow_copy_deletion, c2_communication, backup_deletion, process_injection",Ransomware
"sql_injection_pattern, unusual_db_query",SQL Injection
"unusual_file_extension, c2_communication",Ransomware
"unusual_db_query, blind_sqli_timing, union_based_payload, tautology_in_query",SQL Injection
"union_based_payload, out_of_band_sqli",SQL Injection
"xss_payload_detected, dom_manipulation, javascript_uri_injection",Cross-Site Scripting (XSS)
"domain_spoofing, fake_login_page, spear_phishing_indicators",Phishing
"certificate_anomaly, dns_spoofing, session_hijacking",Man-in-the-Middle (MitM)
"multiple_failed_auth, account_lockout_triggered, failed_ssh_attempts",Brute Force Attack
"port_scanning, service_enumeration, traceroute_activity",Reconnaissance
"file_rename_burst, data_exfiltration_before_encryption",Ransomware
"udp_flood, icmp_flood, bandwidth_saturation",Distributed Denial of Service (DDoS)
"shadow_copy_deletion, unusual_file_extension",Ransomware
"blind_sqli_timing, union_based_payload, boolean_blind_sqli",SQL Injection
"service_degradation, udp_flood, http_flood, connection_exhaustion",Distributed Denial of Service (DDoS)
"cookie_theft_attempt, reflected_payload, csp_bypass_attempt",Cross-Site Scripting (XSS)
"ransom_note_created, file_rename_burst, lateral_movement",Ransomware
"service_degradation, slow_loris_attack",Distributed Denial of Service (DDoS)
"os_fingerprinting, ping_sweep, tcp_connect_scan",Reconnaissance
"mass_file_encryption, registry_modification, bitcoin_address_in_note",Ransomware
"sql_injection_pattern, unusual_db_query, union_based_payload",SQL Injection
"port_scanning, network_mapping, ping_sweep, whois_lookup",Reconnaissance
"port_scanning, whois_lookup",Reconnaissance
"union_based_payload, out_of_band_sqli, tautology_in_query",SQL Injection
"sql_injection_pattern, tautology_in_query, time_delay_response",SQL Injection
"error_based_response, time_delay_response",SQL Injection
"blind_sqli_timing, union_based_payload, out_of_band_sqli",SQL Injection
"brute_force_login, password_spraying, failed_ssh_attempts",Brute Force Attack
"service_enumeration, ping_sweep, dns_enumeration",Reconnaissance
"os_fingerprinting, idle_scan, tcp_connect_scan",Reconnaissance
"unusual_gateway_mac, rogue_dhcp_server, ip_spoofing",Man-in-the-Middle (MitM)
"brute_force_login, high_login_attempts, password_spraying",Brute Force Attack
"multiple_failed_auth, high_login_attempts, rapid_auth_requests",Brute Force Attack
"ssl_stripping, certificate_anomaly, bgp_hijacking",Man-in-the-Middle (MitM)
"icmp_flood, slow_loris_attack",Distributed Denial of Service (DDoS)
"udp_flood, icmp_flood, ntp_amplification",Distributed Denial of Service (DDoS)
"domain_spoofing, vishing_indicators",Phishing
"service_degradation, dns_amplification",Distributed Denial of Service (DDoS)
"c2_communication, registry_modification, process_injection",Ransomware
"service_degradation, amplification_traffic, slow_loris_attack, dns_amplification, ntp_amplification",Distributed Denial of Service (DDoS)
"c2_communication, backup_deletion",Ransomware
"sql_injection_pattern, blind_sqli_timing, union_based_payload, tautology_in_query",SQL Injection
"dom_manipulation, stored_xss_payload, event_handler_injection",Cross-Site Scripting (XSS)
"dom_manipulation, event_handler_injection, javascript_uri_injection",Cross-Site Scripting (XSS)
"sql_injection_pattern, unusual_db_query, blind_sqli_timing, db_error_in_response, encoded_sql_payload",SQL Injection
"suspicious_email_link, fake_login_page, malicious_attachment",Phishing
"packet_interception, session_hijacking, ip_spoofing",Man-in-the-Middle (MitM)
"domain_spoofing, credential_harvesting, lookalike_domain",Phishing
"email_header_anomaly, brand_impersonation",Phishing
"lookalike_domain, spear_phishing_indicators, whaling_attempt",Phishing
"os_fingerprinting, service_enumeration, network_mapping, dns_enumeration",Reconnaissance
"reflected_payload, event_handler_injection, javascript_uri_injection, malicious_iframe_injection, html_entity_bypass",Cross-Site Scripting (XSS)
"brute_force_login, multiple_failed_auth, credential_stuffing",Brute Force Attack
"shadow_copy_deletion, file_rename_burst, backup_deletion, process_injection, bitcoin_address_in_note",Ransomware
"arp_spoofing, packet_interception, session_hijacking",Man-in-the-Middle (MitM)
"unusual_db_query, error_based_response, tautology_in_query",SQL Injection
"registry_modification, process_injection, data_exfiltration_before_encryption",Ransomware
"packet_interception, ssl_certificate_mismatch, evil_twin_ap",Man-in-the-Middle (MitM)
"high_traffic_volume, icmp_flood, slow_loris_attack, connection_exhaustion",Distributed Denial of Service (DDoS)
"high_traffic_volume, icmp_flood, dns_amplification",Distributed Denial of Service (DDoS)
"dom_manipulation, stored_xss_payload",Cross-Site Scripting (XSS)
"ssl_stripping, session_hijacking",Man-in-the-Middle (MitM)
"port_scanning, banner_grabbing, ping_sweep",Reconnaissance
"http_flood, icmp_flood, slow_loris_attack, dns_amplification",Distributed Denial of Service (DDoS)
"ransom_note_created, shadow_copy_deletion, unusual_file_extension, data_exfiltration_before_encryption",Ransomware
"xss_payload_detected, reflected_payload",Cross-Site Scripting (XSS)
